"","species","shp_res_pos","shp_feat_pos","cor","p","abs(shp_res_pos/shp_feat_pos)"
"1","Bifidobacterium.scardovii",236,335,0.280233264155955,4.62011536207927e-06,0.704477611940298
"2","Clostridia.bacterium.UC5.1.1E11",265,351,0.318963805882028,5.01529455324112e-08,0.754985754985755
"3","X.Clostridium..clostridioforme",145,138,0.789293919234493,1.06441335868122e-76,1.05072463768116
"4","Clostridia.bacterium.UC5.1.1F7",303,286,0.38985682001861,1.4567324338685e-12,1.05944055944056
"5","Dialister.invisus",178,250,0.230776850086209,0.000501146405550396,0.712
"6","Hungatella.sp..MP42A4",135,269,0.234782269362974,0.000360616693650614,0.50185873605948
"7","Hafnia.paralvei",350,344,0.64771565655732,1.640787831029e-42,1.01744186046512
"8","Bifidobacterium.dentium",171,243,0.194465376095731,0.00746985369808946,0.703703703703704
"9","Citrobacter.pasteurii",267,347,0.818459717956961,3.20549533851755e-87,0.769452449567723
"10","Dialister.invisus.CAG.218",326,257,0.551711085839271,3.32458780093469e-28,1.26848249027237
"11","Klebsiella.pneumoniae",238,192,0.618331957578761,1.34846163589924e-37,1.23958333333333
"12","Dorea.sp..MP50E3",200,313,0.473934446851525,1.24706373758375e-19,0.638977635782748
"13","X.Clostridium..scindens",302,312,0.581769422944138,3.60793094483176e-32,0.967948717948718
"14","Ruthenibacterium.lactatiformans",189,281,0.567063415349405,3.53267340905537e-30,0.672597864768683
"15","Ruminococcaceae.bacterium.cv2",235,299,0.25463543239428,6.0796398633664e-05,0.785953177257525
"16","Finegoldia.magna",173,352,0.20986382923,0.00254006786817705,0.491477272727273
"17","Streptococcus.agalactiae",319,355,0.211249112803422,0.00234918799147412,0.898591549295775
"18","Ruthenibacterium.sp..VE800.03",251,284,0.664656356062412,1.32303978851327e-45,0.883802816901408
"19","Oscillibacter.sp..MP229B9a",139,330,0.277916697479442,5.95122392452221e-06,0.421212121212121
"20","Citrobacter.freundii",145,248,0.346599799534221,1.20484706723585e-09,0.584677419354839
"21","Subdoligranulum.sp..MP158A7",248,291,0.793358498885867,4.62416223232871e-78,0.852233676975945
"22","Roseburia.sp..MP499E8",247,330,0.412702281064636,2.79043315080177e-14,0.748484848484849
"23","Enterococcaceae.bacterium.UBA5115",245,344,0.301263028951659,4.38905087792704e-07,0.712209302325581
"24","Massiliomicrobiota.sp..HF30_ig1",69,338,0.230622130504322,0.000501146405550396,0.20414201183432
"25","Lactobacillus.salivarius",339,314,0.557418583612494,6.25315985932149e-29,1.0796178343949
"26","Enterococcaceae.bacterium.UBA4035",316,351,0.637158259158229,1.11265421697758e-40,0.9002849002849
"27","Streptococcus.thermophilus",143,181,0.611337398445619,1.68475606083391e-36,0.790055248618785
"28","Lactobacillus.rhamnosus",232,237,0.663419857163815,2.25895564060547e-45,0.978902953586498
"29","Dakarella.massiliensis",360,347,0.457202563105219,4.7566153329909e-18,1.03746397694524
"30","Actinomyces.sp..HPA0247",307,303,0.396701368659278,4.70272182694854e-13,1.01320132013201
"31","Actinomyces.oris",214,323,0.424240659499747,3.33463466693272e-15,0.662538699690402
"32","Rothia.mucilaginosa",140,299,0.254744536055091,6.0796398633664e-05,0.468227424749164
"33","Roseburia.hominis",312,313,0.696117414584379,6.30902039909446e-52,0.996805111821086
"34","Dysgonomonas.capnocytophagoides",289,353,0.234654569099831,0.000360616693650614,0.818696883852691
"35","Anaerotruncus.colihominis",293,294,0.873404378865723,1.93816427342663e-113,0.996598639455782
"36","Clostridium.sp..chh4.2",359,351,0.790108796320956,5.72426885402548e-77,1.02279202279202
"37","Eggerthella.lenta",271,271,0.942146464661466,1.13016630098743e-172,1
"38","Lachnospiraceae.bacterium.UBA1689",311,311,0.343853773614852,1.78558982529521e-09,1
"39","Faecalicatena.contorta",202,317,0.387070903138603,2.29225170345287e-12,0.637223974763407
"40","Intestinibacter.sp..HF28",200,309,0.454679175602753,8.00600221698985e-18,0.647249190938511
"41","Actinomyces.sp..ICM47",143,308,0.168812536839598,0.0394623398186884,0.464285714285714
"42","Blautia.coccoides",288,198,0.702364356564227,2.7772498283523e-53,1.45454545454545
"43","Lachnoclostridium.sp..MP625H6_ig1",204,307,0.498148421569573,4.56799356604044e-22,0.664495114006515
"44","Eggerthella.sp..MP69C2_2",318,303,0.657716152883823,2.59049676341471e-44,1.04950495049505
"45","Firmicutes.bacterium.AF22.6AC",242,348,0.242129779481531,0.000186016020026425,0.695402298850575
"46","Lachnoclostridium.sp..MP625H7_ig1",323,305,0.417935131474521,1.08093915785044e-14,1.05901639344262
"47","Absiella.sp..VE303.07",143,218,0.280321558460116,4.62011536207927e-06,0.655963302752294
"48","Dysgonomonas.sp..UBA7710",261,362,0.524032174248507,6.74503798214208e-25,0.720994475138122
"49","Lachnospiraceae.bacterium.6_1_37FAA",189,321,0.537682158667838,1.73031919678064e-26,0.588785046728972
"50","Lachnoclostridium.sp..VE303.01",322,303,0.679222011030497,1.95323025450696e-48,1.06270627062706
"51","Collinsella.tanakaei",334,353,0.192311497765174,0.00862461327164118,0.946175637393768
"52","Clostridium.bolteae.CAG.59",233,307,0.237427478426305,0.000284614664654251,0.758957654723127
"53","Anaerostipes.caccae",335,268,0.39716366504297,4.36409217916957e-13,1.25
"54","Faecalimonas.umbilicata",235,316,0.22394619468005,0.000877018667190925,0.743670886075949
"55","Hungatella.sp..MP550A3",336,314,0.683103676639972,3.23679577206039e-49,1.07006369426752
"56","Desulfovibrionaceae.bacterium",353,339,0.57640273129802,1.95678235980103e-31,1.04129793510324
"57","Blautia.wexlerae",225,325,0.311800565716298,1.2381452569523e-07,0.692307692307692
"58","Sellimonas.intestinalis",319,320,0.868268484244606,1.66152288219631e-110,0.996875
"59","X.Clostridium..citroniae",258,259,0.899945631161283,5.60614008768398e-131,0.996138996138996
"60","Clostridia.bacterium.UC5.1.2G4",243,265,0.581216176706755,4.29711636676389e-32,0.916981132075472
"61","Clostridium.clostridioforme.CAG.511",252,325,0.587088723443915,6.4718496901787e-33,0.775384615384615
"62","Blautia.sp..HF21_ig1",130,280,0.346956120474953,1.1515620028189e-09,0.464285714285714
"63","Drancourtella.massiliensis",219,342,0.436696964870706,3.03018115198285e-16,0.640350877192982
"64","Firmicutes.bacterium.CAG.552_39_19",345,345,0.59192722140782,1.33355299992786e-33,1
"65","Tyzzerella.nexilis",303,281,0.636836324895645,1.25876050214793e-40,1.07829181494662
"66","Roseburia.faecis",93,310,0.360945157390448,1.44352399016685e-10,0.3
"67","X.Eubacterium..eligens",329,306,0.550684503719122,4.46369204699161e-28,1.07516339869281
"68","Lachnospiraceae.bacterium.GAM79",161,341,0.390433118218405,1.33684576365843e-12,0.472140762463343
"69","X.Clostridium..sp..MP428B7re",325,350,0.618722946128718,1.17187635199282e-37,0.928571428571429
"70","Bacteroides.sp..MP159D11",354,353,0.733269319093283,1.55257818463832e-60,1.0028328611898
"71","Blautia.sp..HK34",264,285,0.823139180765695,4.37815384485724e-89,0.926315789473684
"72","X.Clostridium..sp..HF14",343,311,0.630907418912087,1.23129486970528e-39,1.10289389067524
"73","X.Clostridium..sp..MP562A3a",322,322,0.703477972146924,1.58513177048242e-53,1
"74","Harryflintia.acetispora",226,331,0.50263356065783,1.55232402511041e-22,0.682779456193353
"75","Blautia.sp..MP87G3",280,278,0.657960466945494,2.34207858660286e-44,1.00719424460432
"76","Anaerotruncus.sp..VE303.02",352,293,0.301545224105259,4.27545303731409e-07,1.20136518771331
"77","Absiella.sp..MP351A7",317,321,0.817851809213343,5.5422165470713e-87,0.987538940809969
"78","Lachnospiraceae.bacterium.TM07.2AC",229,348,0.214664260448651,0.00185444495036299,0.658045977011494
"79","X.Clostridium..sp..MP556F05",257,326,0.745102713091287,1.37377869652912e-63,0.788343558282209
"80","Absiella.sp..MP157H4",282,350,0.265458066268466,2.11266153385965e-05,0.805714285714286
"81","Absiella.sp..MP634G1_ig1",300,265,0.703671565592938,1.44008711376011e-53,1.13207547169811
"82","Erysipelotrichaceae.bacterium.6_1_45",303,267,0.393553090833123,7.97246355625396e-13,1.13483146067416
"83","Fusobacterium.ulcerans",329,344,0.319015944027351,5.01529455324112e-08,0.956395348837209
"84","Veillonella.sp..oral.taxon.158",317,298,0.543745116198727,3.21795092726107e-27,1.06375838926175
"85","Lactobacillus.plantarum",282,263,0.762364751767185,2.30831044337411e-68,1.0722433460076
"86","Haemophilus.haemolyticus",198,340,0.366146533932446,6.51501810266813e-11,0.582352941176471
"87","Metakosakonia.massiliensis",362,361,0.716817179235987,1.50838457398591e-56,1.00277008310249
"88","Clostridium.neonatale",229,295,0.399998154282469,2.70139013343153e-13,0.776271186440678
"89","Sellimonas.sp..VE303.03",213,303,0.406823445870403,8.09384840116239e-14,0.702970297029703
"90","Veillonella.sp..HF34",286,258,0.586226593858022,8.528402602019e-33,1.10852713178295
"91","Clostridium.butyricum",312,309,0.86734006553212,5.46080532050059e-110,1.00970873786408
