"","sample","name","median(value)"
"1",1,"Anaerotruncus.colihominis",-0.44821880757959
"2",1,"Bacteroides.sp..MP64F12",-0.44821880757959
"3",1,"Blautia.coccoides",-0.44821880757959
"4",1,"Burkholderiales.bacterium",-0.44821880757959
"5",1,"Citrobacter.werkmanii",-0.44821880757959
"6",1,"Clostridium.clostridioforme.CAG.511",-0.44821880757959
"7",1,"Clostridium.nexile.CAG.348",-0.44821880757959
"8",1,"Clostridium.paraputrificum",-0.44821880757959
"9",1,"Clostridium.sp..MP113D9",-0.44821880757959
"10",1,"Clostridium.sp..MP49A11",-0.44821880757959
"11",1,"Clostridium.sp..MP551E06",-0.44821880757959
"12",1,"Eggerthella.lenta",-0.44821880757959
"13",1,"Eggerthella.sp..MP163B1",-0.44821880757959
"14",1,"Lactobacillus.animalis",-0.44821880757959
"15",1,"Megasphaera.sp..MP182G6",-0.44821880757959
"16",1,"Paenibacillus.macerans",-0.44821880757959
"17",1,"Romboutsia.sp..MP35A8",-0.44821880757959
"18",1,"Sellimonas.intestinalis",-0.44821880757959
"19",1,"Turicibacter.sp..MP236E3",-0.44821880757959
"20",1,"Veillonella.atypica",-0.44821880757959
"21",1,"Veillonella.dispar",-0.44821880757959
"22",1,"X.Clostridium..citroniae",-0.44821880757959
"23",1,"X.Clostridium..cocleatum",-0.44821880757959
"24",1,"X.Clostridium..sp..MP626E2_ig1",-0.44821880757959
"25",2,"Anaerotruncus.colihominis",-0.29971189118919
"26",2,"Bacteroides.sp..MP64F12",-0.29971189118919
"27",2,"Blautia.coccoides",7.47919662442673
"28",2,"Burkholderiales.bacterium",-0.29971189118919
"29",2,"Citrobacter.werkmanii",-0.29971189118919
"30",2,"Clostridium.clostridioforme.CAG.511",-0.29971189118919
"31",2,"Clostridium.nexile.CAG.348",-0.29971189118919
"32",2,"Clostridium.paraputrificum",3.81484785611599
"33",2,"Clostridium.sp..MP113D9",-0.29971189118919
"34",2,"Clostridium.sp..MP49A11",2.47427112756747
"35",2,"Clostridium.sp..MP551E06",-0.29971189118919
"36",2,"Eggerthella.lenta",-0.29971189118919
"37",2,"Eggerthella.sp..MP163B1",-0.29971189118919
"38",2,"Lactobacillus.animalis",-0.29971189118919
"39",2,"Megasphaera.sp..MP182G6",-0.29971189118919
"40",2,"Paenibacillus.macerans",-0.29971189118919
"41",2,"Romboutsia.sp..MP35A8",-0.29971189118919
"42",2,"Sellimonas.intestinalis",6.62327132792821
"43",2,"Turicibacter.sp..MP236E3",-0.29971189118919
"44",2,"Veillonella.atypica",8.43184346329575
"45",2,"Veillonella.dispar",-0.29971189118919
"46",2,"X.Clostridium..citroniae",-0.29971189118919
"47",2,"X.Clostridium..cocleatum",-0.29971189118919
"48",2,"X.Clostridium..sp..MP626E2_ig1",-0.29971189118919
"49",3,"Anaerotruncus.colihominis",-0.0496982437476241
"50",3,"Bacteroides.sp..MP64F12",-0.0496982437476241
"51",3,"Blautia.coccoides",-0.0496982437476241
"52",3,"Burkholderiales.bacterium",-0.0496982437476241
"53",3,"Citrobacter.werkmanii",-0.0496982437476241
"54",3,"Clostridium.clostridioforme.CAG.511",-0.0496982437476241
"55",3,"Clostridium.nexile.CAG.348",-0.0496982437476241
"56",3,"Clostridium.paraputrificum",-0.0496982437476241
"57",3,"Clostridium.sp..MP113D9",-0.0496982437476241
"58",3,"Clostridium.sp..MP49A11",-0.0496982437476241
"59",3,"Clostridium.sp..MP551E06",-0.0496982437476241
"60",3,"Eggerthella.lenta",-0.0496982437476241
"61",3,"Eggerthella.sp..MP163B1",-0.0496982437476241
"62",3,"Lactobacillus.animalis",-0.0496982437476241
"63",3,"Megasphaera.sp..MP182G6",-0.0496982437476241
"64",3,"Paenibacillus.macerans",-0.0496982437476241
"65",3,"Romboutsia.sp..MP35A8",-0.0496982437476241
"66",3,"Sellimonas.intestinalis",-0.0496982437476241
"67",3,"Turicibacter.sp..MP236E3",-0.0496982437476241
"68",3,"Veillonella.atypica",-0.0496982437476241
"69",3,"Veillonella.dispar",-0.0496982437476241
"70",3,"X.Clostridium..citroniae",-0.0496982437476241
"71",3,"X.Clostridium..cocleatum",-0.0496982437476241
"72",3,"X.Clostridium..sp..MP626E2_ig1",-0.0496982437476241
"73",4,"Anaerotruncus.colihominis",-0.342330757983596
"74",4,"Bacteroides.sp..MP64F12",-0.342330757983596
"75",4,"Blautia.coccoides",-0.342330757983596
