"","sample","name","median(value)"
"1",1,"Actinomyces.sp..HMSC035G02",-0.44821880757959
"2",1,"Actinomyces.sp..ICM39",-0.44821880757959
"3",1,"Anaerostipes.sp..992a",-0.44821880757959
"4",1,"Bacteroides.ovatus",-0.44821880757959
"5",1,"Enterobacter.cloacae",4.34144351758073
"6",1,"Erysipelatoclostridium.sp..MP95D5",10.5234831789003
"7",1,"Intestinibacter.sp..MP113D11",-0.44821880757959
"8",1,"Klebsiella.oxytoca",-0.44821880757959
"9",1,"Lachnospiraceae.bacterium.CAG.364",10.0709216591102
"10",1,"Lactobacillus.paracasei",-0.44821880757959
"11",1,"Prevotella.buccae",5.07287345232751
"12",1,"Providencia.alcalifaciens",-0.44821880757959
"13",1,"Roseburia.intestinalis",-0.44821880757959
"14",1,"Streptococcus.infantis",-0.44821880757959
"15",1,"Streptococcus.sp..MP111F6_2",-0.44821880757959
"16",1,"X.Clostridium..aldenense",10.1760774500819
"17",1,"X.Ruminococcus..sp..MP14G5",-0.44821880757959
"18",2,"Actinomyces.sp..HMSC035G02",-0.29971189118919
"19",2,"Actinomyces.sp..ICM39",-0.29971189118919
"20",2,"Anaerostipes.sp..992a",-0.29971189118919
"21",2,"Bacteroides.ovatus",-0.29971189118919
"22",2,"Enterobacter.cloacae",-0.29971189118919
"23",2,"Erysipelatoclostridium.sp..MP95D5",-0.29971189118919
"24",2,"Intestinibacter.sp..MP113D11",9.75808360066227
"25",2,"Klebsiella.oxytoca",8.8777479105432
"26",2,"Lachnospiraceae.bacterium.CAG.364",-0.29971189118919
"27",2,"Lactobacillus.paracasei",-0.29971189118919
"28",2,"Prevotella.buccae",-0.29971189118919
"29",2,"Providencia.alcalifaciens",-0.29971189118919
"30",2,"Roseburia.intestinalis",-0.29971189118919
"31",2,"Streptococcus.infantis",-0.29971189118919
"32",2,"Streptococcus.sp..MP111F6_2",-0.29971189118919
"33",2,"X.Clostridium..aldenense",-0.29971189118919
"34",2,"X.Ruminococcus..sp..MP14G5",-0.29971189118919
"35",3,"Actinomyces.sp..HMSC035G02",5.14603576309492
"36",3,"Actinomyces.sp..ICM39",-0.0496982437476241
"37",3,"Anaerostipes.sp..992a",-0.0496982437476241
"38",3,"Bacteroides.ovatus",-0.0496982437476241
"39",3,"Enterobacter.cloacae",10.4544697207033
"40",3,"Erysipelatoclostridium.sp..MP95D5",-0.0496982437476241
"41",3,"Intestinibacter.sp..MP113D11",-0.0496982437476241
"42",3,"Klebsiella.oxytoca",-0.0496982437476241
"43",3,"Lachnospiraceae.bacterium.CAG.364",-0.0496982437476241
"44",3,"Lactobacillus.paracasei",-0.0496982437476241
"45",3,"Prevotella.buccae",-0.0496982437476241
"46",3,"Providencia.alcalifaciens",-0.0496982437476241
"47",3,"Roseburia.intestinalis",-0.0496982437476241
"48",3,"Streptococcus.infantis",-0.0496982437476241
"49",3,"Streptococcus.sp..MP111F6_2",-0.0496982437476241
"50",3,"X.Clostridium..aldenense",-0.0496982437476241
"51",3,"X.Ruminococcus..sp..MP14G5",-0.0496982437476241
"52",4,"Actinomyces.sp..HMSC035G02",-0.342330757983596
"53",4,"Actinomyces.sp..ICM39",-0.342330757983596
"54",4,"Anaerostipes.sp..992a",-0.342330757983596
"55",4,"Bacteroides.ovatus",-0.342330757983596
"56",4,"Enterobacter.cloacae",-0.342330757983596
"57",4,"Erysipelatoclostridium.sp..MP95D5",-0.342330757983596
"58",4,"Intestinibacter.sp..MP113D11",-0.342330757983596
"59",4,"Klebsiella.oxytoca",9.75041141661415
"60",4,"Lachnospiraceae.bacterium.CAG.364",-0.342330757983596
"61",4,"Lactobacillus.paracasei",-0.342330757983596
"62",4,"Prevotella.buccae",6.98745063200585
"63",4,"Providencia.alcalifaciens",-0.342330757983596
"64",4,"Roseburia.intestinalis",-0.342330757983596
"65",4,"Streptococcus.infantis",-0.342330757983596
"66",4,"Streptococcus.sp..MP111F6_2",-0.342330757983596
"67",4,"X.Clostridium..aldenense",9.87827702268623
"68",4,"X.Ruminococcus..sp..MP14G5",-0.342330757983596
"69",5,"Actinomyces.sp..HMSC035G02",-1.23353130148546
"70",5,"Actinomyces.sp..ICM39",-1.23353130148546
"71",5,"Anaerostipes.sp..992a",-1.23353130148546
"72",5,"Bacteroides.ovatus",5.91547645759457
"73",5,"Enterobacter.cloacae",-1.23353130148546
"74",5,"Erysipelatoclostridium.sp..MP95D5",-1.23353130148546
"75",5,"Intestinibacter.sp..MP113D11",-1.23353130148546
"76",5,"Klebsiella.oxytoca",-1.23353130148546
"77",5,"Lachnospiraceae.bacterium.CAG.364",-1.23353130148546
"78",5,"Lactobacillus.paracasei",-1.23353130148546
"79",5,"Prevotella.buccae",-1.23353130148546
"80",5,"Providencia.alcalifaciens",-1.23353130148546
"81",5,"Roseburia.intestinalis",7.97365877653222
"82",5,"Streptococcus.infantis",6.75200141534764
"83",5,"Streptococcus.sp..MP111F6_2",-1.23353130148546
"84",5,"X.Clostridium..aldenense",-1.23353130148546
"85",5,"X.Ruminococcus..sp..MP14G5",-1.23353130148546
"86",6,"Actinomyces.sp..HMSC035G02",-0.618047600308154
"87",6,"Actinomyces.sp..ICM39",-0.618047600308154
"88",6,"Anaerostipes.sp..992a",-0.618047600308154
"89",6,"Bacteroides.ovatus",-0.618047600308154
"90",6,"Enterobacter.cloacae",5.87054107764888
"91",6,"Erysipelatoclostridium.sp..MP95D5",-0.618047600308154
"92",6,"Intestinibacter.sp..MP113D11",-0.618047600308154
"93",6,"Klebsiella.oxytoca",-0.618047600308154
"94",6,"Lachnospiraceae.bacterium.CAG.364",-0.618047600308154
"95",6,"Lactobacillus.paracasei",-0.618047600308154
"96",6,"Prevotella.buccae",-0.618047600308154
"97",6,"Providencia.alcalifaciens",-0.618047600308154
"98",6,"Roseburia.intestinalis",10.6329830024176
"99",6,"Streptococcus.infantis",7.75088349063263
"100",6,"Streptococcus.sp..MP111F6_2",-0.618047600308154
"101",6,"X.Clostridium..aldenense",-0.618047600308154
"102",6,"X.Ruminococcus..sp..MP14G5",-0.618047600308154
"103",7,"Actinomyces.sp..HMSC035G02",5.3837265151429
"104",7,"Actinomyces.sp..ICM39",-0.30069242611146
"105",7,"Anaerostipes.sp..992a",-0.30069242611146
"106",7,"Bacteroides.ovatus",-0.30069242611146
"107",7,"Enterobacter.cloacae",-0.30069242611146
"108",7,"Erysipelatoclostridium.sp..MP95D5",-0.30069242611146
"109",7,"Intestinibacter.sp..MP113D11",-0.30069242611146
"110",7,"Klebsiella.oxytoca",8.78286747543484
"111",7,"Lachnospiraceae.bacterium.CAG.364",-0.30069242611146
"112",7,"Lactobacillus.paracasei",9.47209750412664
"113",7,"Prevotella.buccae",-0.30069242611146
"114",7,"Providencia.alcalifaciens",-0.30069242611146
"115",7,"Roseburia.intestinalis",-0.30069242611146
"116",7,"Streptococcus.infantis",-0.30069242611146
"117",7,"Streptococcus.sp..MP111F6_2",-0.30069242611146
"118",7,"X.Clostridium..aldenense",-0.30069242611146
"119",7,"X.Ruminococcus..sp..MP14G5",-0.30069242611146
"120",8,"Actinomyces.sp..HMSC035G02",-0.245892885395314
"121",8,"Actinomyces.sp..ICM39",-0.245892885395314
"122",8,"Anaerostipes.sp..992a",-0.245892885395314
"123",8,"Bacteroides.ovatus",-0.245892885395314
"124",8,"Enterobacter.cloacae",-0.245892885395314
"125",8,"Erysipelatoclostridium.sp..MP95D5",-0.245892885395314
"126",8,"Intestinibacter.sp..MP113D11",-0.245892885395314
"127",8,"Klebsiella.oxytoca",-0.245892885395314
"128",8,"Lachnospiraceae.bacterium.CAG.364",-0.245892885395314
"129",8,"Lactobacillus.paracasei",-0.245892885395314
"130",8,"Prevotella.buccae",-0.245892885395314
"131",8,"Providencia.alcalifaciens",-0.245892885395314
"132",8,"Roseburia.intestinalis",-0.245892885395314
"133",8,"Streptococcus.infantis",-0.245892885395314
"134",8,"Streptococcus.sp..MP111F6_2",8.86452308555495
"135",8,"X.Clostridium..aldenense",-0.245892885395314
"136",8,"X.Ruminococcus..sp..MP14G5",-0.245892885395314
"137",9,"Actinomyces.sp..HMSC035G02",-0.662962362972539
"138",9,"Actinomyces.sp..ICM39",-0.662962362972539
"139",9,"Anaerostipes.sp..992a",-0.662962362972539
"140",9,"Bacteroides.ovatus",8.06106059918279
"141",9,"Enterobacter.cloacae",-0.662962362972539
"142",9,"Erysipelatoclostridium.sp..MP95D5",-0.662962362972539
"143",9,"Intestinibacter.sp..MP113D11",-0.662962362972539
"144",9,"Klebsiella.oxytoca",6.92267059819593
"145",9,"Lachnospiraceae.bacterium.CAG.364",-0.662962362972539
"146",9,"Lactobacillus.paracasei",-0.662962362972539
"147",9,"Prevotella.buccae",-0.662962362972539
"148",9,"Providencia.alcalifaciens",-0.662962362972539
"149",9,"Roseburia.intestinalis",4.31773384022503
"150",9,"Streptococcus.infantis",-0.662962362972539
"151",9,"Streptococcus.sp..MP111F6_2",-0.662962362972539
"152",9,"X.Clostridium..aldenense",5.68754731659176
"153",9,"X.Ruminococcus..sp..MP14G5",-0.662962362972539
"154",10,"Actinomyces.sp..HMSC035G02",-0.842811511805918
"155",10,"Actinomyces.sp..ICM39",5.32393033211775
"156",10,"Anaerostipes.sp..992a",-0.842811511805918
"157",10,"Bacteroides.ovatus",-0.842811511805918
"158",10,"Enterobacter.cloacae",-0.842811511805918
"159",10,"Erysipelatoclostridium.sp..MP95D5",-0.842811511805918
"160",10,"Intestinibacter.sp..MP113D11",8.02090958661489
"161",10,"Klebsiella.oxytoca",-0.842811511805918
"162",10,"Lachnospiraceae.bacterium.CAG.364",-0.842811511805918
"163",10,"Lactobacillus.paracasei",-0.842811511805918
"164",10,"Prevotella.buccae",4.27068679237788
"165",10,"Providencia.alcalifaciens",-0.842811511805918
