"","sample","name","median(value)"
"1",1,"Actinomyces.sp..HMSC035G02",0.000122739322250709
"2",1,"Actinomyces.sp..ICM39",0.000520296802278608
"3",1,"Anaerostipes.sp..992a",0.00059855543076992
"4",1,"Bacteroides.ovatus",0.00027331686578691
"5",1,"Enterobacter.cloacae",-0.024421981535852
"6",1,"Erysipelatoclostridium.sp..MP95D5",-0.0036999819567427
"7",1,"Intestinibacter.sp..MP113D11",0.000761156057706103
"8",1,"Klebsiella.oxytoca",0.0018018958508037
"9",1,"Lachnospiraceae.bacterium.CAG.364",-0.0149326287209988
"10",1,"Lactobacillus.paracasei",0.00275753694586456
"11",1,"Prevotella.buccae",7.20430834917352e-05
"12",1,"Providencia.alcalifaciens",0.000538299151230603
"13",1,"Roseburia.intestinalis",0.000418034294852987
"14",1,"Streptococcus.infantis",0.000786909688031301
"15",1,"Streptococcus.sp..MP111F6_2",0.000285087240627035
"16",1,"X.Clostridium..aldenense",-0.0016572832246311
"17",1,"X.Ruminococcus..sp..MP14G5",0.00034512864658609
"18",2,"Actinomyces.sp..HMSC035G02",0.000168789345480036
"19",2,"Actinomyces.sp..ICM39",0.000608114816714078
"20",2,"Anaerostipes.sp..992a",0.000508205499500036
"21",2,"Bacteroides.ovatus",0.00034526753006503
"22",2,"Enterobacter.cloacae",0.0134786330163479
"23",2,"Erysipelatoclostridium.sp..MP95D5",0.00157074636081234
"24",2,"Intestinibacter.sp..MP113D11",-0.00100151044898666
"25",2,"Klebsiella.oxytoca",-0.00195449870079756
"26",2,"Lachnospiraceae.bacterium.CAG.364",0.00130043720128015
"27",2,"Lactobacillus.paracasei",0.00874221604317427
"28",2,"Prevotella.buccae",0.0001927325502038
"29",2,"Providencia.alcalifaciens",0.000983077508863062
"30",2,"Roseburia.intestinalis",0.000641798105789348
"31",2,"Streptococcus.infantis",0.000960563425906003
"32",2,"Streptococcus.sp..MP111F6_2",0.000779860245529562
"33",2,"X.Clostridium..aldenense",0.00433915900066495
"34",2,"X.Ruminococcus..sp..MP14G5",0.000619625236140564
"35",3,"Actinomyces.sp..HMSC035G02",5.85968446102925e-05
"36",3,"Actinomyces.sp..ICM39",0.000396616640500724
"37",3,"Anaerostipes.sp..992a",1.18991938506952e-05
"38",3,"Bacteroides.ovatus",-0.00158984964946285
"39",3,"Enterobacter.cloacae",-0.0656489692628384
"40",3,"Erysipelatoclostridium.sp..MP95D5",0.000162050462677144
"41",3,"Intestinibacter.sp..MP113D11",0.000266059243585914
